pathway	external_id	source	hgnc_symbol_ids
Citrate cycle (TCA cycle) - Homo sapiens (human)	path:hsa00020	KEGG	PCK2,PCK1,CS,MDH2,MDH1,FH,IDH3A,OGDH,IDH3B,IDH3G,PC,PDHB,OGDHL,PDHA2,PDHA1,DLD,IDH2,IDH1,SUCLG2,SUCLG1,ACO1,ACO2,DLST,SUCLA2,DLAT,SDHA,ACLY,SDHC,SDHB,SDHD
Antigen processing and presentation - Homo sapiens (human)	path:hsa04612	KEGG	CD74,HSPA2,TAP2,KLRD1,HSPA5,HSPA4,HLA-C,HLA-B,HLA-A,HSPA8,HLA-G,HLA-F,HLA-E,CD4,NFYB,B2M,HSPA6,KIR3DL2,CANX,HSPA1L,KLRC3,KIR2DL3,HLA-DRA,CTSS,PSME1,CIITA,KIR2DS4,KIR2DS5,KIR2DS2,KIR2DS3,KIR2DS1,HSP90AB1,HSPA1A,HLA-DQB1,CREB1,KLRC1,HLA-DPB1,RFXANK,KLRC2,CTSL,KLRC4,TAP1,IFNG,HLA-DRB3,CTSB,HLA-DRB1,PSME2,PSME3,IFI30,HLA-DRB5,TNF,HLA-DRB4,KIR3DL3,CD8A,KIR3DL1,KIR2DL5A,CD8B,RFXAP,NFYC,LGMN,HSPA1B,RFX5,CALR,PDIA3,NFYA,TAPBP,KIR2DL2,KIR2DL1,HLA-DOA,HLA-DOB,KIR2DL4,HLA-DPA1,HSP90AA1,HLA-DMB,HLA-DQA1,HLA-DQA2,HLA-DMA
Primary immunodeficiency - Homo sapiens (human)	path:hsa05340	KEGG	TAP1,IL7R,TAP2,CD40LG,ADA,RFXANK,CD4,LCK,IKBKG,DCLRE1C,CD79A,CIITA,JAK3,BLNK,ICOS,ORAI1,CD40,RAG2,RAG1,UNG,CD8A,ZAP70,CD8B,TNFRSF13B,TNFRSF13C,RFXAP,AIRE,IL2RG,RFX5,CD3E,PTPRC,IGLL1,CD3D,AICDA,BTK,CD19
Tryptophan metabolism - Homo sapiens (human)	path:hsa00380	KEGG	IDO2,AOX1,IDO1,INMT,ALDH3A2,CAT,DDC,HAAO,ECHS1,AANAT,GCDH,OGDH,KYNU,CYP1B1,ASMT,HADHA,AFMID,ACAT1,ACAT2,KYAT1,IL4I1,OGDHL,KMO,TDO2,AADAT,HADH,TPH1,TPH2,ALDH9A1,ALDH7A1,ALDH1B1,EHHADH,ACMSD,CYP1A1,CYP1A2,KYAT3,ALDH2,MAOB,MAOA,AOC1
Prion diseases - Homo sapiens (human)	path:hsa05020	KEGG	MAP2K1,CCL5,PRNP,BAX,NOTCH1,C8A,C8B,C8G,IL1A,STIP1,NCAM1,NCAM2,HSPA5,EGR1,FYN,MAPK3,C9,MAPK1,C7,C6,C5,HSPA1A,SOD1,CASP12,LAMC1,MAP2K2,C1QC,C1QB,C1QA,IL6,PRKACG,ELK1,PRKACA,PRKACB,IL1B
Fanconi anemia pathway - Homo sapiens (human)	path:hsa03460	KEGG	FAAP100,ERCC1,ERCC4,MUS81,ATR,FANCD2,POLN,BRIP1,POLK,RMI1,POLI,POLH,SLX4,FANCF,SLX1A,CENPS,SLX1B,MLH1,FANCG,ATRIP,FANCE,FANCC,FANCB,FANCA,USP1,FANCM,FANCL,FAAP24,FANCI,BRCA1,BRCA2,RMI2,CENPS-CORT,BLM,REV3L,CENPX,REV1,TELO2,PMS2,RAD51C,FAN1,RPA4,PALB2,RPA1,RPA3,RPA2,WDR48,TOP3A,RAD51,HES1,TOP3B,EME1,UBE2T,EME2
Inflammatory mediator regulation of TRP channels - Homo sapiens (human)	path:hsa04750	KEGG	CALM2,CALM3,CALM1,PTGER4,PIK3CA,PIK3CB,PIK3CD,NTRK1,PTGER2,PLA2G6,TRPV4,TRPV1,TRPV3,TRPV2,PIK3R1,CAMK2D,HRH1,CAMK2A,CAMK2B,ADCY4,ADCY5,ADCY6,ADCY7,ADCY1,ADCY2,ADCY3,ADCY8,ADCY9,NGF,IGF1,IL1R1,TRPM8,PIK3R2,HTR2C,HTR2B,PLCB1,PLCB2,PLCB3,PLCB4,ASIC5,ASIC4,ASIC1,ASIC3,ASIC2,ITPR2,ITPR3,ITPR1,GNAQ,GNAS,CALML3,CALML6,CALML5,CALML4,CYP2J2,MAPK14,PLA2G4C,PIK3R3,MAPK10,MAPK11,MAPK12,MAPK13,IL1B,MAPK8,MAPK9,SRC,CYP4A11,BDKRB1,BDKRB2,PRKCQ,JMJD7-PLA2G4B,PRKACG,PRKACA,PRKACB,F2RL1,MAP2K6,MAP2K3,PLCG2,PLCG1,ALOX12,TRPA1,CYP4A22,PRKCH,CAMK2G,PRKCA,PRKCB,PRKCE,PRKCD,PRKCG,HTR2A,IL1RAP,P2RY2,PLA2G4B,PLA2G4A,PLA2G4F,PLA2G4E,PLA2G4D,PPP1CB,PPP1CC,PPP1CA
Glycosphingolipid biosynthesis - ganglio series - Homo sapiens (human)	path:hsa00604	KEGG	B3GALT4,ST3GAL2,ST3GAL1,B4GALNT1,ST3GAL5,HEXA,ST8SIA5,HEXB,GLB1,SLC33A1,ST8SIA1,ST6GALNAC6,ST6GALNAC5,ST6GALNAC4,ST6GALNAC3
Non-small cell lung cancer - Homo sapiens (human)	path:hsa05223	KEGG	FHIT,MAP2K1,RASSF1,NRAS,CDKN1A,RASSF5,BAX,FOXO3,PLCG2,BAD,AKT3,ARAF,RB1,POLK,RXRG,CASP9,RAF1,EGF,SOS1,RARB,STAT3,ALK,PIK3CA,PIK3CB,PIK3CD,EML4,GADD45G,MAPK3,MAPK1,PIK3R3,PIK3R2,PIK3R1,DDB2,HRAS,JAK3,ERBB2,TGFA,CDKN2A,PRKCA,EGFR,PRKCB,RXRA,PRKCG,STK4,RXRB,TP53,KRAS,E2F3,SOS2,E2F1,AKT1,CCND1,E2F2,AKT2,PLCG1,BAK1,MAP2K2,STAT5B,STAT5A,GRB2,CDK4,BRAF,CDK6,GADD45A,PDPK1,GADD45B
Platelet activation - Homo sapiens (human)	path:hsa04611	KEGG	PTGS1,ACTG1,FYN,AKT1,AKT2,AKT3,PIK3CA,PIK3CB,PIK3CD,PIK3CG,GP9,PRKG1,GP6,FGG,FGA,FGB,ADCY4,ARHGEF12,TBXAS1,PLA2G4A,ADCY5,ADCY6,ADCY7,ADCY1,ADCY2,SNAP23,SYK,ADCY3,ADCY8,ADCY9,F2R,GUCY1B1,ACTB,RASGRP2,PRKCI,RASGRP1,APBB1IP,ITGA2,MYLK,ORAI1,COL3A1,GUCY1A1,PIK3R6,PIK3R5,GUCY1A2,PIK3R3,PIK3R2,PIK3R1,PRKG2,PRKACA,PLCB1,PLCB2,PLCB3,PLCB4,PRKACB,ITPR2,ITPR3,RHOA,PTGIR,GNAQ,GNAS,JMJD7-PLA2G4B,VWF,BTK,RAP1B,RAP1A,MAPK14,MAPK11,MAPK12,MAPK13,ARHGEF1,GNAI2,GNAI3,GNAI1,FCER1G,ITPR1,ITGA2B,GP1BA,P2RY12,GP1BB,MAPK3,MAPK1,PPP1R12A,TBXA2R,LCP2,MYLK4,MYLK2,MYLK3,FERMT3,GP5,LYN,MYL12B,MYL12A,PRKACG,COL1A2,COL1A1,F2RL3,STIM1,SRC,PLCG2,P2RX1,TLN2,TLN1,GNA13,ITGB1,ITGB3,NOS3,FCGR2A,PRKCZ,PLA2G4C,PLA2G4B,VASP,P2RY1,PLA2G4F,PLA2G4E,PLA2G4D,PPP1CB,PPP1CC,PPP1CA,VAMP8,ROCK1,ROCK2,ARHGAP35
Cell adhesion molecules (CAMs) - Homo sapiens (human)	path:hsa04514	KEGG	NRCAM,CD34,GLG1,TIGIT,VTCN1,CD226,L1CAM,CD40LG,PECAM1,NTNG1,NTNG2,SPN,CDH1,CDH3,CDH2,CDH5,CDH4,CD8A,HLA-DPB1,CD28,LRRC4,HLA-DRB3,HLA-DRB1,HLA-DRB4,HLA-DRB5,NEGR1,LRRC4C,LRRC4B,NRXN3,NRXN2,NRXN1,MAG,ITGA8,ITGA9,HLA-C,HLA-B,HLA-A,HLA-G,HLA-F,HLA-E,CNTN2,CNTN1,ICOSLG,MADCAM1,CLDN8,CLDN9,HLA-DQB1,ITGB8,CLDN1,CLDN2,CLDN3,CLDN4,CLDN5,CLDN6,CLDN7,CTLA4,NLGN4X,JAM2,JAM3,NFASC,F11R,CD99,SDC1,SDC2,SDC3,SDC4,ITGAV,ITGAL,ITGAM,ESAM,CD80,MPZ,CLDN10,CLDN11,CLDN16,CLDN17,CLDN14,CLDN15,CLDN18,CLDN19,CD4,CD6,CD2,NCAM1,NCAM2,PVR,MPZL1,ALCAM,CD86,NECTIN2,NECTIN3,NECTIN1,ICAM3,ICAM2,ICAM1,CADM3,PDCD1,ICOS,NLGN2,NLGN3,NLGN1,ITGA4,ITGA6,OCLN,CD8B,HLA-DOA,HLA-DOB,CD274,HLA-DPA1,CADM1,CD276,CDH15,CD58,VCAN,CNTNAP1,CNTNAP2,HLA-DMB,HLA-DRA,SELPLG,NEO1,VCAM1,CD22,ITGB1,ITGB2,ITGB7,CLDN23,CLDN22,NLGN4Y,CLDN20,CD40,CLDN25,CLDN24,PDCD1LG2,SELL,SELE,SIGLEC1,PTPRF,PTPRC,PTPRM,SELP,HLA-DQA1,HLA-DQA2,HLA-DMA
Chronic myeloid leukemia - Homo sapiens (human)	path:hsa05220	KEGG	HDAC1,TGFB1,TGFB2,TGFB3,CRKL,SMAD4,CDKN1B,CDKN1A,NFKBIA,GAB2,MAP2K1,SMAD3,IKBKB,MAP2K2,BAD,AKT3,ARAF,IKBKG,POLK,SOS2,ABL1,CRK,RAF1,BCR,CDK6,RUNX1,MECOM,PIK3CA,GADD45B,NRAS,RB1,GADD45G,MAPK3,MAPK1,PIK3R3,PIK3R2,PIK3R1,HDAC2,DDB2,NFKB1,MYC,HRAS,SHC4,TGFBR2,TGFBR1,CDKN2A,SHC1,SHC2,SHC3,CHUK,PIK3CD,BAX,TP53,MDM2,RELA,KRAS,E2F3,E2F2,E2F1,AKT1,CCND1,PTPN11,AKT2,CBL,BAK1,STAT5B,STAT5A,GRB2,CDK4,BRAF,BCL2L1,GADD45A,CTBP1,CTBP2,PIK3CB,SOS1
ECM-receptor interaction - Homo sapiens (human)	path:hsa04512	KEGG	ITGA8,ITGA9,GP1BB,LAMC1,TNC,CHAD,ITGA1,ITGA2,HSPG2,ITGA4,ITGA5,CD36,ITGA7,ITGB1,ITGA10,ITGA11,LAMB1,LAMA4,LAMB3,LAMB2,COL2A1,LAMB4,LAMA5,TNN,ITGA3,THBS2,IBSP,THBS4,TNR,TNXB,THBS3,ITGA6,THBS1,DAG1,GP6,RELN,CD44,SV2A,GP5,SV2C,SV2B,GP9,HMMR,LAMA1,LAMA2,LAMA3,ITGB5,ITGB4,ITGB7,ITGB6,COMP,CD47,COL1A1,COL9A2,COL9A3,VTN,COL4A6,COL4A5,COL4A4,COL4A3,COL4A2,COL4A1,LAMC2,LAMC3,COL9A1,COL1A2,COL6A3,ITGB3,AGRN,ITGB8,FN1,GP1BA,SDC1,SDC4,ITGAV,SPP1,ITGA2B,COL6A1,VWF,COL6A2,COL6A5,COL6A6
Gastric cancer - Homo sapiens (human)	path:hsa05226	KEGG	TERC,CDX2,AKT1,AKT2,AKT3,ARAF,MLH1,EGF,RARB,DVL3,GADD45A,GADD45B,PIK3CD,WNT8B,GADD45G,CDH1,MYC,ERBB2,SHC1,SHC2,SHC3,MUC2,FGFR2,KRAS,CCND1,TCF7L1,TCF7L2,BAK1,GRB2,APC,WNT7A,WNT7B,CDKN1B,CDKN1A,GAB1,FZD10,GSK3B,CCNE2,POLK,CCNE1,JUP,PIK3R3,PIK3R2,PIK3R1,TCF7,FGF9,FGF8,FGF7,FGF6,FGF5,FGF4,FGF3,FGF2,FGF1,TP53,CSNK1A1,REG4,FRAT1,FRAT2,PIK3CA,WNT5B,WNT5A,FGF22,PIK3CB,FGF20,FGF21,WNT3A,TGFB1,SMAD4,SMAD2,SMAD3,APC2,TGFB3,SOS2,RAF1,FZD1,FZD2,FZD3,FZD4,FZD5,FZD6,FZD7,FZD8,FZD9,RPS6KB1,RPS6KB2,MAPK3,FGF19,FGF18,DDB2,FGF10,FGF17,FGF16,MAPK1,TGFBR2,TGFBR1,RXRG,RXRA,RXRB,MTOR,E2F3,LEF1,CSNK1A1L,LRP6,WNT10A,SOS1,LRP5,WNT3,WNT2,WNT1,WNT6,WNT4,MET,CDK2,CDKN2B,TGFB2,WNT10B,CDH17,EGFR,BAX,CTNNB1,MAP2K2,MAP2K1,AXIN2,AXIN1,NRAS,RB1,DVL2,WNT8A,ABCB1,DVL1,TERT,WNT9B,WNT2B,HGF,CTNNA1,CTNNA2,CTNNA3,HRAS,E2F2,E2F1,SHC4,SHH,FGF23,BRAF,WNT9A,WNT16,WNT11,BCL2
Doxorubicin Pathway (Cardiomyocyte Cell), Pharmacodynamics	PA165292164	PharmGKB	ATP5F1CP1,ATP2A2,NCF4,CYCS,AKR1A1,ATP5F1B,AKR1C3,RYR2,CBR1,CBR3,ATP5ME,TOP2B,NOS1,NOS2,NOS3,RAC2,CYBA,ACO1,ATP5F1D,ATP5F1E,ATP5F1A,ATP5PB,ATP5F1C,ATP5PD
MET interacts with TNS proteins	R-HSA-8875513	Reactome	ITGB1,MET,TNS3,HGF,TNS4
Focal adhesion - Homo sapiens (human)	path:hsa04510	KEGG	ACTG1,CRKL,FYN,MYL7,AKT2,MYL5,MYL2,RAPGEF1,CAV2,CAV3,ZYX,MYL9,PIK3CA,PIK3CB,PIK3CD,RELN,ERBB2,IGF1R,DIAPH1,SHC2,SHC3,RAP1B,MYL12B,MYLK2,SOS1,FN1,AKT1,CCND1,CCND3,CCND2,MYLK,GSK3B,PTEN,AKT3,PAK4,PAK5,ACTB,PAK1,PAK2,PAK3,ITGA8,ITGA9,ITGA1,ITGA2,ITGA3,ITGA4,PDGFB,ITGA6,ITGA7,ITGA10,ITGA11,BCL2,LAMB1,CRK,LAMB3,LAMB2,IBSP,LAMB4,RAC3,ELK1,COL2A1,THBS4,RAC1,JUN,THBS3,THBS1,GRB2,PIK3R3,PIK3R2,PIK3R1,COL1A2,CAV1,IGF1,MYL10,VEGFD,COL4A5,COL4A4,VEGFA,COL4A2,VEGFC,VEGFB,LAMC2,LAMC3,RHOA,LAMC1,BCAR1,PAK6,VTN,COL4A3,COL4A6,VAV1,VAV3,VAV2,ITGAV,FLNA,VWF,FLNC,PDGFD,PDGFRB,PDGFRA,COL4A1,CHAD,ILK,RAP1A,RAC2,XIAP,MAPK10,BIRC3,TNR,SOS2,FLT4,RAF1,FLT1,THBS2,ITGA2B,MAPK3,MAPK1,PPP1R12A,PPP1R12B,PPP1R12C,PARVB,MAPK8,PARVA,EGF,PARVG,KDR,CAPN2,LAMA1,LAMA2,DOCK1,LAMA4,LAMA5,BUB1B-PAK6,COMP,MYLK4,COL9A2,MYLK3,ITGA5,PPP1CB,MAPK9,RASGRF1,MYL12A,PIP5K1C,PPP1CA,MAP2K1,TNN,MET,SPP1,COL1A1,CDC42,SHC4,PTK2,SRC,EGFR,BIRC2,CTNNB1,BAD,LAMA3,MYLPF,ARHGAP5,SHC1,PGF,TLN2,TLN1,PXN,ARHGAP35,ITGB1,PDGFA,ITGB3,PDGFC,ITGB5,ITGB4,ITGB7,ITGB6,PRKCA,ITGB8,PRKCB,VCL,PRKCG,COL9A3,TNC,HGF,VASP,COL9A1,FLNB,ACTN1,TNXB,HRAS,PPP1CC,ACTN4,ROCK1,ROCK2,BRAF,COL6A1,PDPK1,COL6A3,COL6A2,COL6A5,COL6A6
Protein export - Homo sapiens (human)	path:hsa03060	KEGG	SPCS1,HSPA5,SPCS3,OXA1L,SEC62,SEC63,IMMP2L,SRP54,SRPRB,SPCS2,SRPRA,SRP14,SRP19,SRP72,SRP9,IMMP1L,SEC61G,SEC61B,SEC11A,SEC11C,SRP68,SEC61A1,SEC61A2
Pyruvate metabolism - Homo sapiens (human)	path:hsa00620	KEGG	PCK2,GRHPR,PCK1,ME3,ALDH3A2,LDHAL6B,LDHAL6A,ME1,MDH2,MDH1,ME2,FH,PKLR,ACAT1,HAGH,DLD,PC,ACAT2,LDHD,GLO1,PDHB,LDHA,LDHB,PKM,PDHA2,PDHA1,ACACA,ACACB,ACSS2,ACSS1,DLAT,ALDH9A1,ALDH7A1,ALDH1B1,ACOT12,ACYP1,ACYP2,ALDH2,LDHC
mTOR signaling pathway - Homo sapiens (human)	path:hsa04150	KEGG	STK11,IKBKB,AKT1,AKT2,AKT3,DVL2,DVL3,PIK3CA,PIK3CB,PIK3CD,WNT8B,DVL1,FLCN,IGF1R,DDIT4,SLC38A9,DEPDC5,KRAS,CAB39L,SOS1,TTI1,GRB10,WDR59,GSK3B,PTEN,GRB2,WNT7A,STRADA,STRADB,WNT7B,ATP6V1D,ATP6V1F,ATP6V1A,SEH1L,HRAS,SLC7A5,ATP6V1H,WNT6,FZD10,ATP6V1E2,NPRL3,NPRL2,RAF1,AKT1S1,PIK3R3,PIK3R2,PIK3R1,IGF1,FNIP1,SEC13,CHUK,EIF4E,TELO2,RHOA,EIF4B,RPS6KA1,RPS6KA2,RPS6KA3,DEPTOR,RPS6KA6,TNFRSF1A,SLC3A2,INS,ATP6V1G3,ATP6V1G2,ATP6V1G1,WNT10A,LAMTOR4,LAMTOR5,WNT5A,LAMTOR1,LAMTOR2,LAMTOR3,WNT3A,SESN2,MAP2K1,RPS6,MIOS,TBC1D7,TSC2,TSC1,FZD1,FNIP2,FZD3,FZD4,FZD5,FZD6,FZD7,FZD8,FZD9,RPS6KB1,RPS6KB2,MAPK3,WDR24,MAPK1,RNF152,FZD2,MTOR,MLST8,LRP6,SOS2,SGK1,LRP5,WNT3,WNT2,WNT1,ATP6V1E1,IRS1,WNT4,EIF4E1B,RHEB,WNT10B,CAB39,PRKAA2,PRKAA1,MAP2K2,INSR,SKP2,RPTOR,RICTOR,LPIN1,NRAS,PRR5,MAPKAP1,WNT8A,CLIP1,PDPK1,ATP6V1B1,ATP6V1B2,WNT9B,WNT2B,RRAGD,ULK1,RRAGA,EIF4EBP1,RRAGC,RRAGB,PRKCA,PRKCB,PRKCG,TNF,WNT16,EIF4E2,WNT5B,ULK2,BRAF,WNT9A,ATP6V1C2,ATP6V1C1,WNT11
Parathyroid hormone synthesis, secretion and action - Homo sapiens (human)	path:hsa04928	KEGG	ARAF,GCM1,MAFB,GCM2,ARHGEF1,SLC34A1,SLC34A3,SLC34A2,TRPV5,ARHGEF11,SP1,CREB5,CREB3,CREB1,BGLAP,GATA3,FGFR1,ADCY4,ADCY5,ADCY6,ADCY7,PLD1,PLD2,ADCY3,ADCY8,ADCY9,RUNX2,ADCY1,MMP14,MMP15,MMP16,MMP17,MMP13,CDKN1A,NACA,ADCY2,PTH,RAF1,EGR1,PRKCA,CYP27B1,PLCB1,PLCB2,PLCB3,PLCB4,FOS,ITPR2,ITPR3,RHOA,ITPR1,GNAQ,GNAS,MEF2C,MEF2A,MEF2D,FGF23,SOST,TNFSF11,VDR,ARRB2,AKAP13,ARRB1,GNAI2,GNAI3,GNAI1,MAPK3,HBEGF,MAPK1,CASR,RXRG,RXRA,RXRB,CYP24A1,LRP6,LRP5,KL,PRKACG,PRKACA,PRKACB,PDE4A,PDE4B,PDE4C,PDE4D,PTH1R,EGFR,JUND,MAP2K1,SLC9A3R1,PTHLH,BRAF,NR4A2,PRKCB,PRKCG,MMP25,MMP24,CREB3L2,CREB3L3,CREB3L1,GNA12,GNA13,CREB3L4,GNA11,ATF4,ATF6B,BCL2,ATF2
Cortisol synthesis and secretion - Homo sapiens (human)	path:hsa04927	KEGG	ATF6B,STAR,MC2R,CYP17A1,PLCB3,CACNA1F,KCNA4,CACNA1G,CACNA1H,CACNA1I,NCEH1,CYP11A1,ADCY1,NR0B1,CACNA1C,CACNA1D,KCNK2,KCNK3,NR5A1,CYP21A2,AGTR1,CACNA1S,PLCB1,PLCB2,ORAI1,PLCB4,CREB3L4,SP1,CREB5,GNA11,CREB3,MRAP,LDLR,CREB1,POMC,ITPR2,ITPR3,ITPR1,PDE8A,PDE8B,PBX1,ADCY4,ADCY5,ADCY6,ADCY7,GNAQ,ADCY2,GNAS,SCARB1,ADCY3,ADCY8,ADCY9,NR4A1,CREB3L2,CREB3L3,PRKACG,CREB3L1,PRKACA,HSD3B1,HSD3B2,PRKACB,ATF4,CYP11B1,ATF2
